Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss_per_User
Japan,2018,SQL Injection,Education,60.57,468399,Nation-state,Zero-day,VPN,56,129.31
India,2015,Ransomware,IT,61.68,503774,Hacker Group,Zero-day,Firewall,37,122.44
France,2021,Phishing,Retail,45.74,754278,Insider,Social Engineering,Firewall,46,60.64
Japan,2019,SQL Injection,IT,89.81,126120,Unknown,Social Engineering,Encryption,39,712.1
UK,2018,Malware,IT,73.27,210024,Hacker Group,Weak Passwords,Antivirus,20,348.86
France,2022,DDoS,Banking,51.33,970775,Insider,Unpatched Software,AI-based Detection,21,52.88
France,2017,Ransomware,Education,19.84,832471,Insider,Social Engineering,Firewall,54,23.83
India,2024,Phishing,IT,97.25,165316,Unknown,Zero-day,Encryption,61,588.27
Australia,2016,DDoS,Retail,2.96,990886,Insider,Weak Passwords,AI-based Detection,59,2.99
UK,2021,Malware,Telecommunications,82.28,370146,Nation-state,Zero-day,VPN,55,222.29
China,2021,Man-in-the-Middle,Retail,49.59,284823,Unknown,Social Engineering,Antivirus,50,174.11
UK,2016,Malware,Healthcare,65.14,742857,Nation-state,Weak Passwords,Antivirus,49,87.69
Brazil,2024,DDoS,Healthcare,70.0,484101,Hacker Group,Unpatched Software,VPN,9,144.6
UK,2015,Ransomware,Telecommunications,22.58,368441,Hacker Group,Weak Passwords,AI-based Detection,71,61.29
Russia,2019,Malware,Banking,55.42,945465,Unknown,Weak Passwords,Firewall,5,58.62
USA,2016,DDoS,Healthcare,27.08,551900,Unknown,Social Engineering,VPN,17,49.07
UK,2021,Malware,Banking,73.02,731722,Hacker Group,Weak Passwords,VPN,28,99.79
Germany,2018,Phishing,Banking,88.73,436597,Insider,Unpatched Software,AI-based Detection,33,203.23
France,2020,DDoS,Education,16.35,728830,Insider,Zero-day,AI-based Detection,45,22.43
USA,2022,Ransomware,IT,85.61,826018,Hacker Group,Weak Passwords,Firewall,24,103.64
Russia,2020,Ransomware,Telecommunications,76.61,791323,Insider,Unpatched Software,Encryption,40,96.81
USA,2015,SQL Injection,Banking,42.77,117454,Insider,Unpatched Software,Firewall,19,364.14
Japan,2023,Ransomware,Retail,95.3,986882,Hacker Group,Weak Passwords,Encryption,45,96.57
France,2016,Phishing,IT,78.12,770227,Unknown,Zero-day,Antivirus,20,101.42
China,2024,SQL Injection,Government,21.33,997411,Nation-state,Social Engineering,Antivirus,25,21.39
Japan,2020,Malware,Education,66.93,640603,Hacker Group,Unpatched Software,VPN,23,104.48
Brazil,2024,Phishing,Telecommunications,81.54,499671,Hacker Group,Weak Passwords,VPN,4,163.19
India,2020,Phishing,Retail,12.64,805905,Nation-state,Social Engineering,Firewall,54,15.68
France,2017,Phishing,Retail,43.2,377252,Nation-state,Unpatched Software,Encryption,8,114.51
USA,2018,Ransomware,Retail,20.58,653168,Unknown,Weak Passwords,AI-based Detection,3,31.51
Brazil,2017,Phishing,IT,26.62,955790,Nation-state,Zero-day,Encryption,44,27.85
USA,2018,Phishing,Telecommunications,15.56,734448,Unknown,Social Engineering,Encryption,37,21.19
China,2021,Ransomware,Retail,12.97,425647,Unknown,Zero-day,Antivirus,4,30.47
France,2019,SQL Injection,Banking,98.04,278315,Unknown,Unpatched Software,VPN,3,352.26
UK,2020,Man-in-the-Middle,Telecommunications,63.35,294447,Unknown,Zero-day,AI-based Detection,54,215.15
Brazil,2020,DDoS,Education,26.57,384988,Insider,Zero-day,AI-based Detection,19,69.02
Japan,2020,Man-in-the-Middle,Education,29.58,141411,Insider,Unpatched Software,AI-based Detection,58,209.18
France,2023,Phishing,Healthcare,72.54,581712,Insider,Social Engineering,VPN,12,124.7
UK,2020,Ransomware,Education,35.16,100749,Unknown,Zero-day,Firewall,62,348.99
Russia,2019,Malware,Education,56.94,217880,Nation-state,Unpatched Software,VPN,48,261.34
France,2023,Man-in-the-Middle,Telecommunications,99.71,357542,Hacker Group,Zero-day,Antivirus,21,278.88
UK,2021,Malware,Telecommunications,77.18,347426,Hacker Group,Zero-day,Antivirus,36,222.15
France,2018,Man-in-the-Middle,Education,36.92,829140,Nation-state,Unpatched Software,Encryption,2,44.53
France,2017,SQL Injection,Healthcare,42.8,683189,Unknown,Zero-day,VPN,19,62.65
India,2019,Ransomware,Banking,89.41,453441,Hacker Group,Unpatched Software,VPN,29,197.18
Australia,2017,Malware,IT,33.34,673439,Insider,Weak Passwords,Firewall,13,49.51
Brazil,2016,SQL Injection,Telecommunications,13.94,832297,Nation-state,Weak Passwords,AI-based Detection,69,16.75
India,2018,Phishing,IT,13.05,400964,Nation-state,Weak Passwords,VPN,19,32.55
France,2019,DDoS,Telecommunications,52.94,192293,Nation-state,Weak Passwords,VPN,57,275.31
Russia,2019,Man-in-the-Middle,Banking,26.02,565292,Insider,Unpatched Software,Antivirus,27,46.03
Brazil,2016,Phishing,Education,9.23,774750,Nation-state,Social Engineering,Firewall,70,11.91
France,2022,Phishing,IT,78.2,666996,Insider,Weak Passwords,Encryption,59,117.24
Germany,2016,Malware,Healthcare,94.12,21382,Unknown,Weak Passwords,Encryption,21,4401.83
Germany,2021,Phishing,Telecommunications,55.14,463525,Nation-state,Unpatched Software,AI-based Detection,59,118.96
Russia,2022,Ransomware,Telecommunications,16.98,905673,Insider,Weak Passwords,VPN,54,18.75
India,2024,Man-in-the-Middle,Retail,30.59,619881,Nation-state,Unpatched Software,Antivirus,42,49.35
France,2015,Malware,Banking,20.27,987350,Insider,Zero-day,Antivirus,4,20.53
USA,2019,Phishing,Education,97.32,849084,Nation-state,Zero-day,VPN,62,114.62
UK,2017,Man-in-the-Middle,Education,13.06,799627,Hacker Group,Weak Passwords,Antivirus,36,16.33
France,2023,Man-in-the-Middle,Education,87.39,307155,Unknown,Unpatched Software,Antivirus,28,284.51
Japan,2024,Ransomware,Retail,88.36,989106,Unknown,Zero-day,Firewall,3,89.33
India,2020,Man-in-the-Middle,Retail,84.77,129144,Hacker Group,Weak Passwords,Antivirus,25,656.4
UK,2015,Malware,Government,57.81,767562,Unknown,Zero-day,Antivirus,61,75.32
Brazil,2015,Malware,IT,74.03,956965,Hacker Group,Unpatched Software,Encryption,40,77.36
Germany,2023,Phishing,Retail,87.55,291580,Unknown,Unpatched Software,Firewall,25,300.26
Germany,2017,Ransomware,Education,76.96,950276,Hacker Group,Unpatched Software,Firewall,31,80.99
UK,2017,Man-in-the-Middle,Telecommunications,89.07,932075,Unknown,Unpatched Software,Firewall,72,95.56
Germany,2015,DDoS,Healthcare,33.96,931456,Hacker Group,Zero-day,AI-based Detection,22,36.46
Japan,2023,Ransomware,Retail,28.77,983880,Nation-state,Unpatched Software,Antivirus,54,29.24
China,2022,DDoS,Education,18.49,20680,Nation-state,Social Engineering,Firewall,29,894.1
Australia,2018,Malware,Education,21.39,437056,Hacker Group,Zero-day,AI-based Detection,52,48.94
India,2021,Malware,Government,57.91,769222,Insider,Weak Passwords,Antivirus,32,75.28
Australia,2022,Malware,Government,4.5,436928,Unknown,Social Engineering,Antivirus,34,10.3
China,2021,DDoS,Healthcare,38.67,340194,Unknown,Weak Passwords,VPN,44,113.67
India,2019,DDoS,IT,44.01,612030,Nation-state,Unpatched Software,Antivirus,47,71.91
Australia,2019,Man-in-the-Middle,IT,87.89,551100,Insider,Zero-day,VPN,9,159.48
Brazil,2022,Phishing,IT,26.02,251768,Unknown,Social Engineering,VPN,6,103.35
Japan,2015,DDoS,Retail,11.69,680720,Nation-state,Zero-day,Encryption,2,17.17
USA,2017,DDoS,Telecommunications,51.69,156213,Nation-state,Weak Passwords,VPN,9,330.89
Japan,2020,Man-in-the-Middle,Retail,33.75,468856,Hacker Group,Unpatched Software,Firewall,15,71.98
France,2023,Ransomware,Government,63.45,90678,Nation-state,Unpatched Software,Firewall,22,699.73
UK,2022,DDoS,Retail,45.73,554585,Hacker Group,Social Engineering,VPN,63,82.46
China,2021,Man-in-the-Middle,Banking,33.3,935265,Nation-state,Unpatched Software,Firewall,20,35.6
Japan,2023,SQL Injection,Banking,43.96,459922,Nation-state,Zero-day,Encryption,12,95.58
France,2017,DDoS,Healthcare,6.72,782873,Hacker Group,Zero-day,Encryption,4,8.58
UK,2020,Ransomware,Banking,53.03,528708,Unknown,Social Engineering,VPN,14,100.3
Germany,2020,SQL Injection,Healthcare,38.89,513096,Hacker Group,Weak Passwords,VPN,57,75.79
Australia,2018,DDoS,Education,79.5,636407,Hacker Group,Zero-day,Encryption,11,124.92
USA,2020,Ransomware,Retail,38.02,419557,Unknown,Weak Passwords,Antivirus,2,90.62
Brazil,2018,DDoS,Healthcare,47.47,784099,Insider,Social Engineering,AI-based Detection,30,60.54
Japan,2024,Malware,Telecommunications,71.18,37870,Nation-state,Zero-day,AI-based Detection,31,1879.59
Brazil,2022,Malware,IT,4.08,291590,Hacker Group,Zero-day,Antivirus,22,13.99
India,2018,SQL Injection,Telecommunications,15.96,444408,Unknown,Weak Passwords,AI-based Detection,64,35.91
Germany,2015,Malware,Banking,56.13,526658,Nation-state,Weak Passwords,VPN,38,106.58
Japan,2021,Malware,Retail,30.53,333238,Hacker Group,Social Engineering,Firewall,20,91.62
Australia,2020,DDoS,Retail,31.36,449936,Insider,Weak Passwords,VPN,52,69.7
Germany,2023,Malware,Retail,71.05,61238,Unknown,Unpatched Software,AI-based Detection,41,1160.23
USA,2024,Malware,Education,24.93,916209,Unknown,Zero-day,Encryption,50,27.21
India,2022,DDoS,Banking,13.97,762440,Nation-state,Unpatched Software,AI-based Detection,19,18.32
China,2021,Malware,Banking,92.2,248859,Nation-state,Social Engineering,Antivirus,33,370.49
Russia,2015,SQL Injection,IT,47.8,645774,Hacker Group,Social Engineering,Firewall,7,74.02
Brazil,2024,Man-in-the-Middle,Healthcare,61.55,218189,Unknown,Weak Passwords,AI-based Detection,48,282.09
China,2015,Man-in-the-Middle,Banking,66.47,623301,Hacker Group,Social Engineering,VPN,40,106.64
Germany,2017,Ransomware,Education,10.32,195872,Hacker Group,Social Engineering,Antivirus,22,52.69
Germany,2016,SQL Injection,IT,76.36,807745,Nation-state,Unpatched Software,AI-based Detection,71,94.53
France,2020,Ransomware,Healthcare,25.49,50385,Unknown,Unpatched Software,Antivirus,10,505.9
Brazil,2017,Malware,Telecommunications,73.71,377769,Hacker Group,Zero-day,Firewall,38,195.12
UK,2018,Ransomware,Telecommunications,99.41,355256,Hacker Group,Unpatched Software,Firewall,51,279.83
UK,2017,DDoS,Government,65.57,478549,Hacker Group,Weak Passwords,Antivirus,37,137.02
Germany,2022,Malware,Retail,60.85,125300,Insider,Weak Passwords,AI-based Detection,11,485.63
France,2018,Ransomware,Education,34.54,608196,Insider,Weak Passwords,AI-based Detection,25,56.79
China,2023,Phishing,Government,43.49,27694,Unknown,Weak Passwords,Encryption,30,1570.38
China,2017,Man-in-the-Middle,Retail,30.38,29840,Hacker Group,Weak Passwords,AI-based Detection,63,1018.1
Russia,2015,Phishing,Banking,4.59,720643,Unknown,Social Engineering,Firewall,19,6.37
Germany,2015,Man-in-the-Middle,IT,54.54,775866,Insider,Weak Passwords,AI-based Detection,69,70.3
USA,2021,Phishing,Retail,95.86,671335,Hacker Group,Zero-day,Antivirus,62,142.79
USA,2017,DDoS,Banking,98.07,276199,Insider,Weak Passwords,Antivirus,28,355.07
UK,2015,Ransomware,IT,75.49,534962,Unknown,Weak Passwords,Encryption,59,141.11
UK,2022,Phishing,Telecommunications,62.8,758516,Hacker Group,Zero-day,VPN,16,82.79
Australia,2018,Phishing,Education,82.18,943662,Unknown,Weak Passwords,Antivirus,47,87.09
Germany,2019,Ransomware,Government,99.3,257068,Hacker Group,Social Engineering,AI-based Detection,17,386.28
USA,2015,DDoS,Education,66.04,75167,Insider,Unpatched Software,VPN,13,878.58
Germany,2017,SQL Injection,Retail,88.18,3200,Insider,Weak Passwords,AI-based Detection,43,27556.25
Japan,2018,Ransomware,IT,60.82,917016,Unknown,Weak Passwords,VPN,39,66.32
UK,2020,SQL Injection,Banking,40.31,760892,Hacker Group,Zero-day,VPN,22,52.98
UK,2021,SQL Injection,Telecommunications,1.47,204624,Unknown,Unpatched Software,VPN,33,7.18
India,2020,DDoS,Healthcare,16.65,324899,Insider,Unpatched Software,Firewall,57,51.25
Australia,2023,Ransomware,Government,96.44,472878,Unknown,Social Engineering,Firewall,37,203.94
France,2022,Malware,Retail,13.77,804221,Nation-state,Zero-day,Firewall,68,17.12
Russia,2023,Ransomware,Banking,54.09,514319,Hacker Group,Zero-day,Firewall,37,105.17
USA,2016,Man-in-the-Middle,Education,2.17,180599,Insider,Social Engineering,Antivirus,4,12.02
China,2017,SQL Injection,Retail,61.83,129677,Hacker Group,Unpatched Software,Firewall,60,476.8
USA,2016,Ransomware,Telecommunications,99.88,999508,Unknown,Unpatched Software,VPN,23,99.93
Australia,2019,SQL Injection,Healthcare,3.92,915247,Nation-state,Zero-day,Encryption,52,4.28
Japan,2015,Man-in-the-Middle,Education,50.99,685261,Nation-state,Unpatched Software,AI-based Detection,36,74.41
UK,2023,DDoS,Government,34.8,48515,Hacker Group,Social Engineering,Encryption,50,717.3
China,2017,Man-in-the-Middle,Government,49.37,613786,Nation-state,Unpatched Software,Antivirus,24,80.44
Australia,2016,DDoS,Education,61.23,228033,Nation-state,Unpatched Software,Encryption,43,268.51
India,2019,SQL Injection,Education,95.54,862718,Hacker Group,Weak Passwords,Antivirus,44,110.74
Russia,2017,Ransomware,Healthcare,16.77,924837,Hacker Group,Unpatched Software,Firewall,62,18.13
Japan,2018,SQL Injection,Government,20.36,876850,Insider,Weak Passwords,AI-based Detection,8,23.22
Germany,2017,Phishing,Banking,10.56,556014,Nation-state,Unpatched Software,Encryption,11,18.99
Brazil,2021,Phishing,Government,42.82,974362,Insider,Unpatched Software,Encryption,70,43.95
India,2017,Man-in-the-Middle,IT,68.68,725608,Insider,Zero-day,AI-based Detection,15,94.65
Russia,2019,Man-in-the-Middle,Education,6.79,386691,Nation-state,Weak Passwords,AI-based Detection,20,17.56
India,2017,SQL Injection,Government,40.98,402855,Insider,Social Engineering,AI-based Detection,26,101.72
Japan,2018,Phishing,Healthcare,25.66,518357,Insider,Weak Passwords,Firewall,42,49.5
USA,2018,Phishing,Banking,29.35,724633,Hacker Group,Weak Passwords,Encryption,26,40.5
Germany,2015,Ransomware,IT,6.74,742272,Nation-state,Zero-day,Antivirus,64,9.08
Brazil,2024,Malware,IT,83.09,650093,Unknown,Social Engineering,Antivirus,58,127.81
Japan,2021,Phishing,Banking,94.32,755165,Hacker Group,Social Engineering,Antivirus,28,124.9
UK,2021,DDoS,IT,67.12,581923,Hacker Group,Social Engineering,VPN,63,115.34
Australia,2024,Man-in-the-Middle,Retail,76.83,637189,Hacker Group,Unpatched Software,Antivirus,56,120.58
USA,2017,DDoS,Retail,70.37,513625,Nation-state,Weak Passwords,VPN,37,137.01
Germany,2024,Phishing,Government,22.46,499142,Nation-state,Unpatched Software,VPN,70,45.0
USA,2024,Phishing,Healthcare,17.64,8334,Unknown,Zero-day,Firewall,13,2116.63
USA,2020,Phishing,Government,37.3,617277,Insider,Social Engineering,Antivirus,4,60.43
USA,2018,Man-in-the-Middle,Education,2.17,614662,Unknown,Weak Passwords,VPN,37,3.53
China,2024,DDoS,Banking,99.99,755185,Unknown,Weak Passwords,Encryption,20,132.4
Russia,2018,DDoS,IT,37.84,839882,Nation-state,Social Engineering,AI-based Detection,7,45.05
Russia,2021,Ransomware,Education,86.8,852965,Nation-state,Weak Passwords,Antivirus,39,101.76
Brazil,2021,Man-in-the-Middle,Banking,3.69,566386,Insider,Unpatched Software,Encryption,45,6.51
Japan,2017,Phishing,IT,73.85,402903,Insider,Zero-day,Encryption,55,183.29
UK,2018,DDoS,Retail,0.5,261266,Hacker Group,Weak Passwords,Firewall,63,1.91
France,2015,Malware,IT,91.94,899215,Hacker Group,Weak Passwords,Antivirus,59,102.24
China,2023,Man-in-the-Middle,Education,35.37,455900,Hacker Group,Zero-day,Antivirus,11,77.58
Japan,2023,SQL Injection,Government,69.61,391049,Unknown,Weak Passwords,Antivirus,35,178.01
France,2020,Ransomware,Government,81.53,694660,Unknown,Weak Passwords,Encryption,29,117.37
Germany,2020,DDoS,IT,63.96,650469,Unknown,Unpatched Software,Antivirus,58,98.33
USA,2020,SQL Injection,IT,68.17,247149,Nation-state,Unpatched Software,Antivirus,47,275.83
Japan,2019,DDoS,Education,15.54,645578,Insider,Weak Passwords,AI-based Detection,56,24.07
Germany,2019,SQL Injection,Government,67.05,848517,Unknown,Unpatched Software,Antivirus,16,79.02
France,2019,Malware,Healthcare,25.19,897755,Hacker Group,Social Engineering,Antivirus,61,28.06
USA,2023,Ransomware,Government,93.34,999635,Nation-state,Weak Passwords,Firewall,24,93.37
Brazil,2017,Phishing,Government,87.27,767721,Unknown,Weak Passwords,Encryption,9,113.67
India,2019,Phishing,IT,33.15,629687,Unknown,Social Engineering,Firewall,53,52.65
India,2021,Phishing,Retail,38.5,517843,Unknown,Unpatched Software,VPN,69,74.35
Russia,2015,DDoS,Healthcare,20.92,807631,Nation-state,Weak Passwords,Firewall,56,25.9
France,2024,Phishing,Retail,98.95,354954,Nation-state,Social Engineering,AI-based Detection,14,278.77
Japan,2017,SQL Injection,Healthcare,54.26,839368,Insider,Unpatched Software,Antivirus,40,64.64
Australia,2018,DDoS,Healthcare,10.77,910081,Nation-state,Zero-day,VPN,28,11.83
USA,2024,Phishing,IT,87.42,979700,Hacker Group,Weak Passwords,Firewall,49,89.23
China,2019,Man-in-the-Middle,Telecommunications,58.78,586131,Nation-state,Unpatched Software,Antivirus,68,100.28
Australia,2017,Phishing,Education,82.47,317988,Nation-state,Zero-day,Encryption,2,259.35
India,2018,Ransomware,Government,43.11,11241,Hacker Group,Weak Passwords,VPN,4,3835.07
Brazil,2016,Phishing,Education,97.98,381599,Unknown,Weak Passwords,Encryption,66,256.76
USA,2016,SQL Injection,Education,16.5,347293,Nation-state,Unpatched Software,Firewall,65,47.51
UK,2023,Ransomware,IT,86.23,82321,Unknown,Zero-day,Firewall,47,1047.48
Germany,2023,SQL Injection,Retail,49.76,460558,Nation-state,Zero-day,VPN,61,108.04
Germany,2022,Man-in-the-Middle,Telecommunications,62.83,828280,Hacker Group,Social Engineering,VPN,62,75.86
India,2020,Malware,Education,20.14,287352,Unknown,Zero-day,Firewall,69,70.09
Australia,2020,Ransomware,Government,25.9,946651,Insider,Unpatched Software,VPN,67,27.36
Japan,2017,Phishing,Education,88.43,954423,Unknown,Unpatched Software,Firewall,6,92.65
Australia,2022,Ransomware,Banking,32.56,979382,Nation-state,Social Engineering,Antivirus,43,33.25
Brazil,2017,DDoS,Government,58.67,12372,Nation-state,Social Engineering,Encryption,29,4742.16
Japan,2017,Phishing,IT,6.49,195044,Unknown,Unpatched Software,AI-based Detection,20,33.27
Japan,2019,Ransomware,Telecommunications,34.93,721984,Nation-state,Weak Passwords,VPN,44,48.38
UK,2022,DDoS,Education,71.55,654253,Insider,Weak Passwords,VPN,35,109.36
Brazil,2015,Malware,Healthcare,23.01,686119,Insider,Weak Passwords,VPN,25,33.54
Australia,2017,Man-in-the-Middle,Healthcare,93.91,776634,Unknown,Weak Passwords,Encryption,33,120.92
India,2020,Ransomware,IT,41.09,698224,Insider,Unpatched Software,VPN,21,58.85
Germany,2023,Malware,Government,86.77,88821,Unknown,Zero-day,Antivirus,39,976.91
Russia,2022,Man-in-the-Middle,Banking,53.95,846546,Unknown,Unpatched Software,VPN,51,63.73
Brazil,2016,Man-in-the-Middle,Retail,14.04,117819,Nation-state,Zero-day,Antivirus,15,119.17
Russia,2021,Man-in-the-Middle,IT,70.97,465446,Unknown,Unpatched Software,Encryption,51,152.48
Brazil,2015,Malware,Healthcare,75.72,184554,Unknown,Zero-day,AI-based Detection,39,410.29
USA,2022,Phishing,IT,48.71,520480,Insider,Weak Passwords,VPN,66,93.59
Brazil,2020,Malware,Government,50.61,294668,Nation-state,Social Engineering,Encryption,17,171.75
USA,2017,Man-in-the-Middle,Healthcare,54.54,892665,Insider,Unpatched Software,VPN,31,61.1
USA,2018,Ransomware,Healthcare,87.42,80926,Hacker Group,Unpatched Software,Antivirus,19,1080.25
UK,2016,Ransomware,Education,80.77,884536,Insider,Zero-day,Encryption,34,91.31
Brazil,2015,SQL Injection,Healthcare,3.73,445422,Unknown,Unpatched Software,AI-based Detection,70,8.37
Russia,2020,Ransomware,Government,52.28,376628,Unknown,Zero-day,Firewall,30,138.81
Brazil,2016,Man-in-the-Middle,Banking,70.89,378949,Unknown,Weak Passwords,AI-based Detection,67,187.07
